unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_6.jpg,16,L4,1,305,508.20327868852456,211.72459016393444
Normal__N_6.jpg,16,L4,2,6359,537.7238559521937,149.5430099072181
Normal__N_6.jpg,17,L5,1,100,545.94,89.6
Normal__N_6.jpg,17,L5,2,5883,577.1757606663267,136.56297807241202
Normal__N_6.jpg,17,L5,3,41,551.7317073170732,67.82926829268293
Normal__N_8.jpg,1,T1,1,2106,113.51851851851852,147.53228869895537
Normal__N_8.jpg,1,T1,2,48,129.875,153.75
Normal__N_8.jpg,2,T2,1,2621,137.309042350248,156.02670736360167
Normal__N_8.jpg,3,T3,3,1907,160.72889355007865,146.06135291033036
Normal__N_8.jpg,4,T4,3,250,174.792,132.796
Normal__N_8.jpg,4,T4,6,469,174.1918976545842,181.05543710021323
Normal__N_8.jpg,5,T5,1,444,177.96396396396398,114.30855855855856
Normal__N_8.jpg,5,T5,5,730,193.2,161.04246575342466
Normal__N_8.jpg,5,T5,7,62,186.41935483870967,197.91935483870967
Normal__N_8.jpg,5,T5,41,42,216.5,99.97619047619048
Normal__N_8.jpg,6,T6,1,2553,206.70622796709753,157.6752839796318
Normal__N_8.jpg,7,T7,4,31,208.90322580645162,104.19354838709677
Normal__N_8.jpg,7,T7,5,4021,238.26038298930615,151.42526734643124
Normal__N_8.jpg,8,T8,1,2239,268.5448861098705,148.91022778025905
Normal__N_8.jpg,9,T9,1,2528,292.3801424050633,164.62064873417722
Normal__N_8.jpg,10,T10,1,3669,321.84900517852276,163.16544017443445
Normal__N_8.jpg,11,T11,1,2955,352.4287648054146,169.98104906937394
Normal__N_8.jpg,12,T12,1,4825,385.66673575129533,168.16269430051813
Normal__N_8.jpg,12,T12,11,111,413.55855855855856,121.15315315315316
Normal__N_8.jpg,12,T12,12,46,414.95652173913044,222.30434782608697
Normal__N_8.jpg,13,L1,1,3915,420.52899106002553,172.0125159642401
Normal__N_8.jpg,14,L2,2,6162,459.0916910094125,167.67786432976305
Normal__N_8.jpg,14,L2,5,33,483.90909090909093,173.8181818181818
Normal__N_8.jpg,15,L3,1,6021,503.27968775950836,157.73359906992195
Normal__N_8.jpg,16,L4,1,6317,543.4432483773943,172.8736742124426
Normal__N_8.jpg,16,L4,3,42,557.7619047619048,91.42857142857143
Normal__N_8.jpg,17,L5,2,5130,579.9497076023392,156.02748538011696
Normal__N_8.jpg,17,L5,5,33,611.9090909090909,208.9090909090909
Normal__N_15.jpg,1,T1,1,2259,89.48162903939796,132.9012837538734
Normal__N_15.jpg,2,T2,1,1935,111.49509043927648,133.17622739018088
Normal__N_15.jpg,3,T3,1,2511,140.2242134607726,143.82357626443647
Normal__N_15.jpg,3,T3,8,34,181.35294117647058,155.64705882352942
Normal__N_15.jpg,4,T4,2,188,157.6595744680851,172.13829787234042
Normal__N_15.jpg,4,T4,3,490,157.28775510204082,131.9530612244898
Normal__N_15.jpg,4,T4,6,42,173.4047619047619,148.57142857142858
Normal__N_15.jpg,4,T4,11,264,186.0,150.93560606060606
Normal__N_15.jpg,5,T5,1,1768,177.0412895927602,132.28110859728505
Normal__N_15.jpg,5,T5,11,46,197.5,101.78260869565217
Normal__N_15.jpg,6,T6,10,1998,210.2052052052052,132.56906906906906
Normal__N_15.jpg,7,T7,2,127,205.31496062992127,105.51181102362204
Normal__N_15.jpg,7,T7,8,2065,240.68329297820824,126.99031476997578
Normal__N_15.jpg,8,T8,2,1621,267.28007402837756,122.58852560148057
Normal__N_15.jpg,9,T9,2,1974,290.13475177304963,131.15400202634245
Normal__N_15.jpg,10,T10,2,4058,320.6421882700838,139.30901922129127
Normal__N_15.jpg,11,T11,1,3219,353.7067412239826,140.31624728176453
Normal__N_15.jpg,11,T11,5,54,377.25925925925924,81.12962962962963
Normal__N_15.jpg,11,T11,11,101,386.9207920792079,81.61386138613861
Normal__N_15.jpg,12,T12,3,4136,384.2168762088975,144.4083655705996
Normal__N_15.jpg,13,L1,1,4843,419.3179847202147,143.77596531075778
Normal__N_15.jpg,14,L2,1,4713,451.68639932102695,155.17823042647996
